pwm,m1,m2,m3,m4,mean
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,1.47262,0.920388,1.104465,0.920388,1.104465
10,3.129318,2.945241,3.129318,2.20893,2.853202
11,4.786016,4.786016,4.970094,4.417861,4.739997
12,6.810869,6.626791,6.994946,6.626791,6.76485
13,8.651644,8.651644,8.835722,8.283489,8.605625
14,10.676497,10.49242,10.676497,10.124265,10.49242
15,12.333195,12.517273,12.885428,12.333195,12.517273
16,13.989893,14.173971,14.173971,13.989893,14.081932
17,16.014746,15.646591,16.014746,15.830668,15.876688
18,17.855521,17.671444,18.039599,17.855521,17.855521
19,19.880374,19.512219,20.064452,19.696297,19.788335
20,21.537072,21.72115,22.089305,21.168917,21.629111
21,23.561925,23.746003,23.93008,23.377847,23.653964
22,25.770855,25.770855,26.139011,25.218623,25.724836
23,27.795708,27.611631,28.163863,26.875321,27.611631
24,29.452406,30.004639,30.004639,29.452406,29.728523
25,31.845414,31.845414,32.213569,31.293182,31.799395
26,33.870267,34.054345,33.870267,32.765802,33.64017
27,36.079198,35.711043,36.263275,34.974732,35.757062
28,37.919973,37.551818,38.288128,37.183663,37.735896
29,39.760748,40.128904,40.681136,38.840361,39.852787
30,42.153756,42.153756,42.705989,41.417446,42.107737
31,43.810454,43.994532,44.362687,43.258222,43.856474
32,46.019385,46.38754,46.571617,45.283075,46.065404
33,47.86016,48.044238,48.59647,47.12385,47.90618
34,50.437246,50.621323,50.621323,48.780548,50.11511
35,52.278021,52.646176,52.830254,51.357633,52.278021
36,54.671029,54.302874,54.855107,53.014331,54.210835
37,56.87996,56.143649,57.064037,55.591417,56.419766
38,58.536657,58.720735,59.457045,56.695882,58.35258
39,60.745588,60.929665,61.665976,59.272968,60.653549
40,62.770441,62.586363,63.690829,61.665976,62.678402
41,64.795294,64.795294,65.715681,63.138596,64.611216
42,66.820147,66.820147,67.924612,65.163449,66.682089
43,68.845,69.213155,70.133542,67.740534,68.983058
44,70.869853,71.05393,71.974318,69.029077,70.731794
45,73.262861,72.158395,74.183248,71.422085,72.756647
46,75.471791,74.919558,76.024024,73.078783,74.873539
47,77.128489,76.576256,77.680721,75.287713,76.668295
48,79.153342,78.417032,80.073729,77.312566,78.739167
49,81.178195,80.257807,82.098582,79.337419,80.718001
50,83.01897,82.28266,84.307513,80.81004,82.604796
51,84.859746,84.859746,86.148288,83.203048,84.767707
52,86.700521,86.516443,87.989064,85.227901,86.608482
53,89.093529,87.989064,89.829839,86.516443,88.357219
54,90.382072,90.382072,91.118382,87.989064,89.967897
55,92.222847,92.03877,93.51139,90.750227,92.130808
56,93.879545,93.327312,95.536243,92.03877,93.695467
57,96.272553,95.904398,96.824786,94.431778,95.858378
58,98.297406,97.561096,98.665561,96.088475,97.653134
59,99.585949,99.401871,100.322259,97.745173,99.263813
60,101.610802,100.874491,102.899344,99.954104,101.334685
61,103.083422,103.267499,103.635654,101.610802,102.899344
